,Title,Sales,Platform(s),Initial  release date,Developer(s),Publisher(s)
0,Minecraft,"20,00,00,000",Multi-platform,"November 18, 2011",Mojang Studios,Mojang Studios
1,Grand Theft Auto V,"13,00,00,000",Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
2,Tetris (EA),"10,00,00,000",Mobile,"September 12, 2006",EA Mobile,Electronic Arts
3,Wii Sports,"8,29,00,000",Wii,"November 19, 2006",Nintendo EAD,Nintendo
4,PlayerUnknown's Battlegrounds,"6,00,00,000",Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation
5,Super Mario Bros.,"4,82,40,000",Multi-platform,"September 13, 1985",Nintendo,Nintendo
6,Pokémon Red / Green / Blue / Yellow,"4,75,20,000",Multi-platform,"February 27, 1996",Game Freak,Nintendo
7,Wii Fit and Wii Fit Plus,"4,38,00,000",Wii,"December 1, 2007",Nintendo EAD,Nintendo
8,Tetris (Nintendo),"4,30,00,000",Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo
9,Pac-Man,"3,90,98,000",Multi-platform,"July 1,1980",Namco,Namco
10,Mario Kart Wii,"3,73,20,000",Wii,"April 10, 2008",Nintendo EAD,Nintendo
11,Mario Kart 8 / Deluxe,"3,32,20,000",Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo
12,Wii Sports Resort,"3,31,30,000",Wii,"June 25, 2009",Nintendo EAD,Nintendo
13,Red Dead Redemption 2,"3,10,00,000",Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games
14,New Super Mario Bros.,"3,08,00,000",Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo
15,Terraria,"3,03,00,000",Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games
16,New Super Mario Bros. Wii,"3,03,00,000",Wii,"November 11, 2009",Nintendo EAD,Nintendo
17,The Elder Scrolls V: Skyrim,"3,00,00,000",Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks
18,Diablo III and Reaper of Souls,"3,00,00,000",Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment
19,Pokémon Gold / Silver / Crystal,"2,94,90,000",Game Boy Color,"November 21, 1999",Game Freak,Nintendo
20,Duck Hunt,"2,83,00,000",NES,"April 21, 1984",Nintendo R&D1,Nintendo
21,Wii Play,"2,80,20,000",Wii,"December 2, 2006",Nintendo EAD,Nintendo
22,The Witcher 3 / Hearts of Stone / Blood and Wine,"2,80,00,000",Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt
23,Grand Theft Auto: San Andreas,"2,75,00,000",Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games
24,Call of Duty: Modern Warfare 3,"2,65,00,000",Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
25,Call of Duty: Black Ops,"2,62,00,000",Multi-platform,"November 9, 2010",Treyarch,Activision
26,Grand Theft Auto IV,"2,50,00,000",Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games
27,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"2,49,50,000",Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company
28,Pokémon Diamond / Pearl / Platinum,"2,47,30,000",Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company
29,Call of Duty: Black Ops II,"2,42,00,000",Multi-platform,"November 12, 2012",Treyarch,Activision
30,Kinect Adventures!,"2,40,00,000",Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios
31,FIFA 18,"2,40,00,000",Multi-platform,"September 29, 2017",EA Canada,Electronic Arts
32,Sonic the Hedgehog,"2,39,82,960",Multi-platform,"June 23, 1991",Sonic Team,Sega
33,Nintendogs,"2,39,60,000",Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo
34,Mario Kart DS,"2,36,00,000",Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo
35,Call of Duty: Modern Warfare 2,"2,27,00,000",Multi-platform,"November 10, 2009",Infinity Ward,Activision
36,Pokémon Ruby / Sapphire / Emerald,"2,25,40,000",Game Boy Advance,"November 21, 2002",Game Freak,Nintendo / The Pokémon Company
37,Borderlands 2,"2,20,00,000",Multi-platform,"September 18, 2012",Gearbox Software,2K Games
38,Super Mario World,"2,09,72,500",Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo
39,Frogger,"2,00,00,000",Multi-platform,"June 5, 1981",Konami,Sega
40,Lemmings,"2,00,00,000",Multi-platform,"February 14, 1991",DMA Design,Psygnosis
41,Grand Theft Auto: Vice City,"2,00,00,000",Multi-platform,"October 27, 2002",Rockstar North,Rockstar Games
42,The Last of Us,"2,00,00,000",PS3 / PS4,"June 14, 2013",Naughty Dog,Sony Computer Entertainment
43,The Legend of Zelda: Breath of the Wild,"1,90,80,000",Switch / Wii U,"March 3, 2017",Nintendo EPD,Nintendo
44,Brain Age,"1,90,10,000",Nintendo DS,"May 19, 2005",Nintendo SPD,Nintendo
45,Super Mario Bros. 3,"1,90,00,000",Multi-platform,"October 23, 1988",Nintendo,Nintendo
46,Call of Duty: Ghosts,"1,90,00,000",Multi-platform,"November 5, 2013",Infinity Ward,Activision
47,Super Smash Bros. Ultimate,"1,88,40,000",Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
48,Mario Kart 7,"1,87,10,000",Nintendo 3DS,"December 1, 2011",Nintendo EAD,Nintendo
49,Super Mario Land,"1,83,70,500",Multi-platform,"April 21, 1989",Nintendo R&D1,Nintendo
50,Gran Turismo 4,"1,78,30,000",PS2 / PSP,"December 28, 2004",Polyphony Digital,Sony Computer Entertainment
